,公司代码,公司全称,经纬度,geocode
7,2008,大族激光科技产业集团股份有限公司,"113.935373, 22.540436",uxbpbz
45,2047,深圳市宝鹰建设控股集团股份有限公司,"113.993427, 22.537359",uxbpbz
187,2191,深圳劲嘉集团股份有限公司,"113.937511, 22.543597",uxbpbz
289,2294,深圳信立泰药业股份有限公司,"114.030136, 22.535875",uxbpbz
296,2301,深圳齐心集团股份有限公司,"114.083175, 22.539629",uxbpbz
311,2316,深圳亚联发展科技股份有限公司,"113.941975, 22.535004",uxbpbz
336,2341,深圳市新纶科技股份有限公司,"113.931076, 22.542173",uxbpbz
346,2351,深圳市漫步者科技股份有限公司,"113.933759, 22.540582",uxbpbz
397,2402,深圳和而泰智能控制股份有限公司,"113.954321, 22.537689",uxbpbz
411,2416,深圳市爱施德股份有限公司,"114.029932, 22.534519",uxbpbz
613,2620,深圳瑞和建筑装饰股份有限公司,"114.121078, 22.543226",uxbpbz
750,2763,深圳汇洁集团股份有限公司,"114.071685, 22.541802",uxbpbz
755,2769,深圳市普路通供应链管理股份有限公司,"114.071685, 22.541802",uxbpbz
761,2775,深圳文科园林股份有限公司,"114.071685, 22.541802",uxbpbz
781,2797,第一创业证券股份有限公司,"114.051801, 22.53641",uxbpbz
794,2811,深圳市郑中设计股份有限公司,"114.057148, 22.534135",uxbpbz
804,2822,深圳市中装建设集团股份有限公司,"114.114633, 22.543149",uxbpbz
888,2912,深圳市中新赛克科技股份有限公司,"113.948557, 22.534616",uxbpbz
892,2917,深圳市金奥博科技股份有限公司,"113.942608, 22.53604",uxbpbz
928,2957,深圳科瑞技术股份有限公司,"113.94008, 22.541297",uxbpbz
942,2972,深圳科安达电子科技股份有限公司,"114.070666, 22.541528",uxbpbz
958,3816,中国广核电力股份有限公司,"114.067046, 22.541651",uxbpbz
